PLAYER,TARGET,N_L5,MAE_L5,RMSE_L5,MAE_L5_over_sigma,N_STD,MAE_STD,RMSE_STD,MAE_STD_over_sigma,Lag1_Autocorr,Sigma_all,Score
Jayson Tatum,PTS,508,6.561811023622046,8.503130502729961,0.6860272393052997,512,7.433191970328956,9.598840225478636,0.7766632425411759,0.35953867231456055,9.569801579879549,0.6860272393052997
Jayson Tatum,REB,508,2.4236220472440944,3.0146884510166077,0.8033893966495143,512,2.388006011993066,3.034038927279004,0.791223437587624,0.19786615979770428,3.0177969212319886,0.791223437587624
Jayson Tatum,AST,508,1.5921259842519686,2.0277212686429777,0.6998590328032869,512,1.7403080986173138,2.278975731655795,0.765449567960641,0.2806129401615118,2.27147705345794,0.6998590328032869
Shai Gilgeous-Alexander,PTS,381,5.666666666666667,7.235759840710646,0.5673016805400893,385,8.347477651947115,10.10000711722044,0.8300717380095451,0.5736665460850429,10.061372802125316,0.5673016805400893
Shai Gilgeous-Alexander,REB,381,2.1139107611548558,2.6800125357171467,0.78413745673268,385,2.0730010955843934,2.706399155992349,0.7705081537996696,0.21964656486467146,2.6905892614789053,0.7705081537996696
Shai Gilgeous-Alexander,AST,381,1.915485564304462,2.447066914275054,0.7442795622512822,385,1.9640807288299353,2.5823396804969923,0.7634181295688478,0.3011810559121975,2.5697771877009825,0.7442795622512822
