
==== TOP 40 CUMTIME: jokic_elasticnet.prof ====

Sun Aug 31 14:36:48 2025    jokic_elasticnet.prof

         4320135 function calls (4276393 primitive calls) in 30.273 seconds

   Ordered by: cumulative time
   List reduced from 10494 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
         4202763 function calls (4159034 primitive calls) in 28.033 seconds

   Ordered by: cumulative time
   List reduced from 10500 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   2050/1    0.036    0.000   28.036   28.036 {built-in method builtins.exec}
        1    0.001    0.001   28.036   28.036 embiid_svr.py:1(<module>)
       21   14.860    0.708   14.860    0.708 {built-in method time.sleep}
        1    0.000    0.000    8.510    8.510 embiid_svr.py:75(build_features)
       21    0.001    0.000    6.786    0.323 http.py:70(send_api_request)
       21    0.000    0.000    6.785    0.323 api.py:62(get)
       21    0.000    0.000    6.784    0.323 api.py:14(request)
       21    0.001    0.000    6.777    0.323 sessions.py:502(request)
       21    0.001    0.000    6.683    0.318 sessions.py:673(send)
       21    0.001    0.000    6.670    0.318 adapters.py:434(send)
       21    0.001    0.000    6.621    0.315 connectionpool.py:596(urlopen)
       21    0.000    0.000    6.598    0.314 connectionpool.py:381(_make_request)
       12    0.001    0.000    4.857    0.405 embiid_svr.py:39(fetch_gamelog)
       12    0.000    0.000    4.753    0.396 playergamelog.py:16(__init__)
       12    0.000    0.000    4.753    0.396 playergamelog.py:42(get_request)
       21    0.001    0.000    3.928    0.187 connection.py:435(getresponse)
       21    0.000    0.000    3.923    0.187 client.py:1325(getresponse)
       21    0.000    0.000    3.922    0.187 client.py:303(begin)
       21    0.001    0.000    3.912    0.186 client.py:270(_read_status)
      581    0.001    0.000    3.912    0.007 {method 'readline' of '_io.BufferedReader' objects}
       39    0.000    0.000    3.911    0.100 ssl.py:1060(recv_into)
       39    0.000    0.000    3.911    0.100 ssl.py:920(read)
       29    0.000    0.000    3.911    0.135 socket.py:575(readinto)
       39    3.911    0.100    3.911    0.100 {method 'read' of '_ssl._SSLSocket' objects}
       21    0.000    0.000    2.664    0.127 connectionpool.py:1089(_validate_conn)
       21    0.001    0.000    2.663    0.127 connection.py:609(connect)
        1    0.000    0.000    2.279    2.279 _search.py:759(fit)
        1    0.000    0.000    2.255    2.255 _search.py:1390(_run_search)
        1    0.000    0.000    2.255    2.255 _search.py:825(evaluate_candidates)
        1    0.000    0.000    2.253    2.253 parallel.py:1847(__call__)
      128    0.004    0.000    2.253    0.018 parallel.py:1764(_get_sequential_output)
  1597/29    0.009    0.000    2.135    0.074 <frozen importlib._bootstrap>:978(_find_and_load)
