Player,Rows,MAE,RMSE,MedAE,R2,MAE_L5,MAE_STD,Skill_L5,Skill_STD,Model,File
Giannis Antetokounmpo,66,5.724575995257816,7.57073585546328,4.604026367081438,-0.0788319166415361,6.127272727272727,5.783923039787748,6.572201857810134,1.0260690559276586,MLP,MLP\Giannis\giannis_mlp_2024_25_predictions.csv
Jayson Tatum,71,6.45979009369809,7.7626119857001346,5.898684546952556,-0.0498493393233476,6.532394366197183,6.549194140579346,1.1114496221292791,1.3651152334498873,SVR-RBF,SVR\Tatum\tatum_svr_2024_25_predictions.csv
Joel Embiid,18,7.846576477336076,9.519618448937385,8.065933118222354,-0.2355100304618167,7.988888888888888,8.447896194219725,1.7813792823022312,7.117981839017951,SVR-RBF,SVR\Embiid\embiid_svr_2024_25_predictions.csv
Luka Doncic,49,6.877545605471626,8.51727749413744,5.437904761904772,-0.0596068998968766,7.195918367346939,7.247659906523555,4.424352051018243,5.106673130713435,RandomForest,RandomForest\Doncic\doncic_randomforest_2024_25_predictions.csv
Nikola Jokic,69,7.274714287419575,9.835580509618172,5.628123913493539,-0.1310168555060706,7.915942028985507,7.549583291115709,8.100460301730006,3.6408500058486495,ElasticNet,ElasticNet\Jokic\jokic_elasticnet_2024_25_predictions.csv
Shai Gilgeous-Alexander,75,6.199184893327815,8.04970053592542,4.572382796738161,-0.1461348959139805,6.165333333333333,5.782743190417583,-0.5490629324364615,-7.201455938771506,ElasticNet,ElasticNet\SGA\sga_elasticnet_2024_25_predictions.csv
